la: la 
baby: baby 
following: following 
created: created 
transcriber: transcribers 
ronnie: ronnie 
charlie: charlie 
california: california 
leh: leh 
king: king 
date: date 
melody: melody 
q: q 
genre: genre 
rossington: rossington 
v: v 
later: later 
release: release 
personal: personal 
twin: twin 
contains: contains 
leave: leave 
would: would 
home: home 
type: type 
kooper: kooper 
sample: sample samples 
share: share 
whole: whole 
g: g 
line: lines 
never: never 
love: love 
two: two 
got: got 
expand: expand 
high: high 
tag: tags 
fly: fly 
z: z 
managed: managed 
minute: minutes minute 
always: always 
traveling: traveling 
sweet: sweet 
bold: bold 
arnold: arnold 
view: view 
cause: cause 
burn: burns 
ladose: ladose 
biggest: biggest 
forget: forget 
privacy: privacy 
italic: italics 
u: us u 
four: four 
whiskey: whiskey 
kept: kept 
header: headers 
information: information 
guideline: guidelines 
place: places 
gaines: gaines 
stay: stay 
road: road 
asking: asking 
contributor: contributor contributors 
man: man 
many: many 
even: even 
part: parts part 
understand: understand 
read: read 
first: first 
w: w 
also: also 
day: day 
songwriter: songwriter 
rd: rd 
drum: drums 
gimme: gimme 
disarray: disarray 
track: track 
country: country 
help: help 
goin: goin 
credit: credits 
process: process 
chorus: chorus 
musical: musical 
debut: debut 
insight: insight 
bass: bass 
hatchet: hatchet 
source: source 
famous: famous 
term: terms 
skin: skin 
blame: blame 
zant: zant 
copyright: copyright 
r: r 
outro: outro 
knowledge: knowledge 
surprisingly: surprisingly 
verified: verified 
thing: things thing 
kid: kid 
visit: visit 
sell: sell 
must: must 
badly: badly 
tomorrow: tomorrow 
year: year years 
l: l 
search: search 
feeling: feeling 
playing: playing 
developer: developers 
pretty: pretty 
al: al 
allen: allen 
press: press 
concert: concerts 
powell: powell 
duane: duane 
rehearsal: rehearsal 
sketo: sketo 
omits: omits 
vocal: vocals 
shop: shop 
going: going 
banjo: banjo 
tuesday: tuesday 
easy: easy 
find: find 
georgia: georgia 
though: though 
format: format 
section: section 
success: success 
hard: hard 
ml: ml 
widespread: widespread 
parton: parton 
seventy: seventies 
world: world 
band: band 
yeah: yeah 
n: n 
lyric: lyric lyrics 
bob: bob 
j: j 
artist: artists artist 
single: single 
thought: thought 
started: started 
inspiration: inspiration 
vida: vida 
play: play 
bird: bird 
embed: embed 
holding: holdings 
viva: viva 
transcription: transcription 
job: jobs 
closing: closing 
answer: answer 
learn: learn 
album: album 
cannot: cannot 
label: label 
simple: simple 
record: records 
version: version 
mcculler: mcculler 
advertise: advertise 
bye: bye 
oh: oh 
know: knows 
gone: gone 
f: f 
chord: chords chord 
e: e 
dedicated: dedicated 
crowd: crowd 
individual: individual 
ultimate: ultimate 
song: songs song 
molly: molly 
take: take 
lord: lord 
habit: habit 
live: live 
licensing: licensing 
yelling: yelling 
american: american 
music: music 
power: power 
contact: contact 
guitar: guitar 
alabama: alabama 
organ: organ 
collection: collection 
hot: hot 
remember: remember 
change: change 
said: said 
one: one 
dolly: dolly 
lissie: lissie 
annotation: annotation 
released: released 
mississippi: mississippi 
video: videos 
p: p 
add: add 
check: check 
sign: sign 
became: became 
doraville: doraville 
telling: telling 
k: k 
might: might 
motherfucker: motherfucker 
cupid: cupid 
billy: billy 
featured: featured 
comment: comment comments 
much: much 
mca: mca 
poison: poison 
ask: ask 
ballad: ballad 
allman: allman 
met: met 
gr: gr 
van: van 
free: free 
drop: drop 
wrote: wrote 
chant: chant 
whatever: whatever 
write: write 
freebird: freebird 
rescue: rescue 
h: h 
collins: collins 
three: three 
c: c 
guide: guide 
damned: damned 
still: still 
way: way 
top: top 
intro: intro 
different: different 
august: august 
bridge: bridge 
promote: promote 
quite: quite 
scholar: scholars 
cat: cat 
forum: forum 
solo: solo 
distinguish: distinguish 
pronounced: pronounced 
steve: steve 
daniel: daniels 
policy: policy 
verse: verse 
etc: etc 
beginning: beginning 
rock: rock 
ft: ft 
lynyrd: lynyrd 
use: use 
ed: ed 
studio: studio 
fact: facts 
vocalist: vocalists 
question: question 
kathy: kathy 
like: like 
broken: broken 
written: written 
trio: trio 
something: something 
step: steps 
singer: singer 
mellotron: mellotron 
lead: lead 
genius: genius 
b: b 
recorded: recorded 
repeating: repeating 
sullivan: sullivan 
southern: southern 
x: x 
full: full 
medley: medley 
writing: writing 
piano: piano 
pre: pre 
break: break 
cover: covers 
skynyrd: skynyrd 
chart: charts 
girl: girl 
every: every 
gary: gary 
please: please 
cancel: cancel 
produced: produced 
llc: llc 
girlfriend: girlfriend 
see: see 
