la: la 
acted: acted 
rogers: rogers 
created: created 
march: march 
spent: spent 
transcriber: transcribers 
randall: randall 
pao: pao 
folk: folk 
featuring: featuring 
bluegrass: bluegrass 
drink: drink 
cigar: cigar 
knee: knees 
put: put 
date: date 
q: q 
cigarette: cigarette 
third: third 
v: v 
recording: recording 
release: release 
buried: buried 
dark: dark 
personal: personal 
twin: twin 
record: record 
type: type 
people: people 
tryin: tryin 
reached: reached 
share: share 
whole: whole 
sang: sang 
g: g 
line: lines line 
never: never 
love: love 
life: life 
two: two 
arista: arista 
got: got 
expand: expand 
crashed: crashed 
get: get 
tag: tags 
americana: americana 
boot: boot 
z: z 
house: house 
somebody: somebody 
session: session 
duet: duet 
drunk: drunk 
mind: mind 
came: came 
always: always 
interview: interview 
bold: bold 
view: view 
die: die 
biggest: biggest 
forget: forget 
privacy: privacy 
italic: italics 
u: us u 
happy: happy 
whiskey: whiskey 
midnight: midnight 
rough: rough 
pop: pop 
header: headers 
eleventh: eleventh 
brad: brad 
information: information 
guideline: guidelines 
willow: willow 
contributor: contributor 
man: man 
bigger: bigger 
even: even 
flew: flew 
head: head 
rise: rise 
part: parts part 
understand: understand 
read: read 
first: first 
w: w 
also: also 
bottle: bottle 
enough: enough 
arm: arms 
day: day 
lullaby: lullaby 
songwriter: songwriter 
memory: memory 
track: track tracks 
country: country 
divorce: divorce 
turned: turned 
alison: alison 
everything: everything 
face: face 
watched: watched 
drank: drank 
goin: goin 
mud: mud 
credit: credits 
chorus: chorus 
musical: musical 
insight: insight 
inspired: inspired 
end: end 
association: association 
billboard: billboard 
number: number 
source: source 
rumor: rumors 
friend: friend 
adult: adult 
famous: famous 
kung: kung 
term: terms 
apologized: apologized 
copyright: copyright 
r: r 
outro: outro 
knowledge: knowledge 
verified: verified 
certified: certified 
visit: visit 
platinum: platinum 
idea: idea 
sell: sell 
dear: dear 
year: year years 
l: l 
search: search 
moment: moment moments 
sober: sober 
soft: soft 
clinging: clinging 
heart: heart 
picture: picture 
paisley: paisley 
developer: developers 
western: western 
pretty: pretty 
tennessee: tennessee 
press: press 
erik: erik 
lost: lost 
tire: tires 
acoustic: acoustic 
single: singles single 
pain: pain 
well: well 
blamed: blamed 
pillow: pillow 
shop: shop 
going: going 
nothin: nothin 
laa: laa 
finally: finally 
within: within 
format: format 
section: section 
ml: ml 
last: last 
spaghetti: spaghetti 
hold: hold 
beneath: beneath 
back: back 
world: world 
living: living 
title: title 
found: found 
n: n 
nashville: nashville 
lyric: lyric lyrics 
industry: industry 
strength: strength 
j: j 
fresh: fresh 
artist: artists 
til: til 
embed: embed 
holding: holdings 
transcription: transcription 
job: jobs 
answer: answer 
learn: learn 
peak: peak 
album: album 
couple: couple 
label: label 
bill: bill 
dylan: dylan 
version: version 
advertise: advertise 
know: knows 
f: f 
others: others 
alright: alright 
make: make 
e: e 
trigger: trigger 
mainly: mainly 
sorry: sorry 
individual: individual 
anderson: anderson 
away: away 
ultimate: ultimate 
jon: jon 
song: songs song 
hide: hide 
time: times time 
licensing: licensing 
could: could 
raining: raining 
music: music 
contact: contact 
along: along 
collection: collection 
next: next 
nobody: nobody 
hot: hot 
franklin: franklin 
said: said 
one: one 
gotten: gotten 
annotation: annotation 
released: released 
note: note 
basically: basically 
thing: thing 
video: videos 
farther: farther 
p: p 
add: add 
check: check 
sign: sign 
come: come 
let: let 
little: little 
deal: deal 
k: k 
frank: frank 
might: might 
laid: laid 
tried: tried 
cupid: cupid 
featured: featured 
comment: comment comments 
much: much 
career: career 
ask: ask 
pulled: pulled 
ballad: ballad 
kind: kind 
angel: angels 
flowed: flowed 
drop: drop 
wrote: wrote 
breath: breath 
write: write 
rescue: rescue 
h: h 
composed: composed 
three: three 
celebrity: celebrity 
c: c 
way: way 
guide: guide 
april: april 
short: short 
different: different 
loved: loved 
promote: promote 
scholar: scholars 
forum: forum 
award: award 
distinguish: distinguish 
policy: policy 
verse: verse 
etc: etc 
fall: fall 
rock: rock 
decided: decided 
perfect: perfect 
krauss: krauss 
use: use 
swing: swing 
fact: facts 
vocalist: vocalists 
question: question 
best: best 
like: like 
broken: broken 
written: written 
burnin: burnin 
castle: castle 
genius: genius 
b: b 
chart: chart charts 
recorded: recorded 
knew: knew 
repeating: repeating 
join: join 
x: x 
broke: broke 
writing: writing 
mistake: mistake 
went: went 
break: break 
wanted: wanted 
cover: covers 
week: weeks 
night: night 
cancel: cancel 
produced: produced 
llc: llc 
talked: talked 
called: called 
instrumental: instrumental 
america: america 
contemporary: contemporary 
